;Bizerte;Tunis;Beja;Jandouba;Kairouan;Kasserine;Ariana;Mahdia;Sidi Bouzid;Siliana;Sousse;Tataouine;Zaghouan;La Kef;Kebili;Manouba;Monastir;Medenine;Nabeul;Sfax;Tozeur;Gafsa;Gabes;Ben arous
Bizerte;0;70;104;154;231;367;64;279;347;200;216;621;126;210;595;77;238;570;137;337;557;433;496;79
Tunis;70;0;116;156;161;298;12;209;268;132;147;552;57;168;525;9;169;500;67;267;454;363;427;10
Beja;86;116;0;50;187;233;118;317;261;102;255;534;130;105;449;106;277;482;176;375;427;336;408;122
Jandouba;154;156;50;0;202;185;160;360;213;103;297;514;172;57;401;148;319;462;218;418;379;288;388;162
Kairouan;231;161;187;202;0;138;173;102;106;101;55;348;105;171;322;171;69;297;122;136;294;203;223;154
Kasserine;367;298;233;185;138;0;310;243;73;145;196;310;235;131;223;270;210;347;360;199;202;111;273;291
Ariana;64;12;118;160;173;310;0;221;280;136;159;564;66;171;537;12;180;512;79;279;466;375;438;22
Mahdia;279;209;317;360;102;243;221;0;187;205;64;401;163;275;375;217;47;350;169;117;375;294;276;200
Sidi Bouzid;347;268;261;213;106;73;280;187;0;165;162;303;215;167;205;279;176;252;230;131;194;103;178;261
Siliana;200;132;102;103;101;145;136;205;165;0;158;426;94;71;352;125;172;374;158;240;342;251;300;127
Sousse;216;147;255;297;55;196;159;64;162;158;0;418;103;233;391;157;21;367;108;134;353;262;293;139
Tataouine;621;552;534;514;348;310;564;401;303;426;418;0;495;469;233;549;406;52;500;285;331;281;127;532
Zaghouan;126;57;130;172;105;235;66;163;215;94;103;495;0;148;481;64;124;456;64;223;391;300;382;50
La Kef;210;168;105;57;171;131;171;275;167;71;233;469;148;0;344;160;242;438;230;291;324;233;364;174
Kebili;595;525;449;401;322;223;537;375;205;352;391;233;481;344;0;523;380;193;474;259;96;111;119;505
Manouba;77;9;106;148;171;270;12;217;279;125;157;549;64;160;523;0;180;512;79;279;435;344;438;22
Monastir;238;169;277;319;69;210;180;47;176;172;21;406;124;242;380;180;0;368;130;135;366;275;294;161
Medenine;570;500;482;462;297;347;512;350;252;374;367;52;456;438;193;512;368;0;449;234;283;229;76;481
Nabeul;137;67;176;218;122;360;79;169;230;158;108;500;64;230;474;79;130;449;0;229;416;325;388;60
Sfax;337;267;375;418;136;199;279;117;131;240;134;285;223;291;259;279;135;234;229;0;314;223;161;260
Tozeur;557;454;427;379;294;202;466;375;194;342;353;331;391;324;96;435;366;283;416;314;0;92;211;447
Gafsa;433;363;336;288;203;111;375;294;103;251;262;281;300;233;111;344;275;229;325;223;92;0;157;356
Gabes;496;427;408;388;223;273;438;276;178;300;293;127;382;364;119;438;294;76;388;161;211;157;0;420
Ben arous;79;10;122;162;154;291;22;200;261;127;139;532;50;174;505;22;161;481;60;260;447;356;420;0
